IP адрес,Порт
96.44.133.110,58690
95.47.183.23,3128
95.181.37.114,47209
95.181.130.149,35689
94.247.241.70,51006
93.171.164.251,8080
91.188.223.137,80
89.47.120.66,8080
87.226.213.98,8080
87.103.234.116,3128
84.53.243.199,8080
84.201.254.47,3128
83.219.149.44,4145
83.219.149.199,4145
83.219.133.99,4145
83.171.112.153,4145
83.167.73.151,59871
81.30.216.147,41258
79.133.80.47,8080
78.36.203.72,31414
78.36.203.201,4145
78.36.140.201,8080
69.4.86.195,21931
66.7.113.39,3128
62.33.207.98,80
62.33.207.202,3128
62.33.207.196,80
62.201.230.37,48958
51.79.141.45,8080
51.79.140.214,8080
51.38.69.83,8080
51.158.68.68,8811
51.158.120.84,8811
51.15.193.253,3128
5.196.132.127,3128
5.196.132.121,3128
5.152.198.45,8118
41.73.15.130,8080
37.144.148.124,1080
217.15.143.239,8080
217.113.122.142,3128
205.185.115.100,8080
204.98.224.62,3129
200.38.16.53,8080
197.211.38.18,8080
195.211.219.47,30847
188.170.233.102,3128
183.91.33.42,81
178.213.82.162,4145
176.123.61.238,3128
167.71.254.86,3128
167.71.243.93,3128
167.71.182.13,3128
167.71.106.246,3128
166.78.221.222,8888
165.22.106.182,3128
163.172.147.94,8811
157.245.0.181,3128
157.230.38.116,8080
146.120.81.73,52658
144.217.74.219,3128
139.255.89.91,3128
116.49.94.205,3128
104.168.213.25,8080
